epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,8.0,-0.021586168557405472,0.4495654284954071,0.2646408677101135,0.0,0.010761917568743229,-0.021593540906906128,-0.021586168557405472
10,17.3125,-0.045454010367393494,-0.02218163274228573,0.49885507822036745,0.0,0.012709254398941994,-0.025790276937186718,-0.045454010367393494
20,15.28125,-0.05419115349650383,-0.02233435995876789,0.17016376852989196,0.0,0.01801709793508053,-0.02018967904150486,-0.05419115349650383
30,13.90625,-0.06482045352458954,-0.027748578041791917,0.25515407919883726,0.0,0.022671560011804103,-0.022027682140469552,-0.06482045352458954
40,14.28125,-0.049678973853588104,-0.023820960149168968,0.12009739577770233,0.0,0.02644243314862251,-0.021917043440043926,-0.049678973853588104
50,16.25,-0.04005518555641174,-0.022332561388611793,0.21839266121387482,0.0,0.03197142165154219,-0.022295988723635675,-0.04005518555641174
60,18.53125,-0.04413217306137085,-0.025145594030618668,0.31485427021980283,0.0,0.03857754655182362,-0.020167947746813297,-0.04413217306137085
70,17.1875,-0.05278743803501129,-0.022008398734033107,0.17108650207519532,0.0,0.043503085151314735,-0.023062240891158582,-0.05278743803501129
80,17.25,-0.03648445010185242,-0.024155723676085473,0.09792584776878357,0.0,0.04986394159495831,-0.023464651964604854,-0.03648445010185242
90,19.3125,-0.05233520269393921,-0.0241655545309186,0.036402441561222076,0.0,0.057009356841444966,-0.025300248898565768,-0.05233520269393921
100,16.65625,-0.04780011251568794,-0.017783765122294425,0.21457124054431914,0.0,0.06251565143465995,-0.028662614710628986,-0.04780011251568794
110,16.625,-0.06078028678894043,-0.0281709399074316,0.08108220100402833,0.0,0.06843243911862373,-0.02868678867816925,-0.06078028678894043
120,17.1875,-0.05504492297768593,-0.024806967377662657,0.0872297465801239,0.0,0.07390037328004836,-0.03112302627414465,-0.05504492297768593
130,17.09375,-0.06297817826271057,-0.016313378047198058,0.0894867718219757,0.0,0.08000925704836845,-0.036412323080003264,-0.06297817826271057
140,19.4375,-0.05171821266412735,-0.023962995409965514,0.0825983464717865,0.0,0.08522985577583313,-0.038139712437987326,-0.05171821266412735
150,14.09375,-0.07063567638397217,-0.018388028256595135,0.1434512346982956,0.0,0.089411661028862,-0.03849754389375448,-0.07063567638397217
160,15.75,-0.07430285215377808,-0.0237877294421196,0.08392515033483505,0.0,0.095067448168993,-0.04177856370806694,-0.07430285215377808
170,16.15625,-0.057482410222291946,-0.025632057338953018,0.07455631643533707,0.0,0.10042096748948097,-0.0418885238468647,-0.057482410222291946
180,18.28125,-0.05936653912067413,-0.027151134982705116,0.07138870656490326,0.0,0.105817249417305,-0.04250009804964065,-0.05936653912067413
190,14.75,-0.08659955859184265,-0.028150989301502706,0.2095572233200073,0.0,0.11134520545601845,-0.03638149444013834,-0.08659955859184265
200,16.0625,-0.05876946449279785,-0.020030131936073302,0.5253693222999573,0.0,0.11502015516161919,-0.03555169813334942,-0.05876946449279785
210,14.1875,-0.0606841966509819,-0.019844837486743927,0.18704004883766173,0.0,0.11959062740206719,-0.03757991194725037,-0.0606841966509819
