epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real_crouch/full,score_fake_crouch/full,disc_reward_crouch/full,task_reward_0
1,14.25,-0.3845456540584564,0.20576949715614318,0.8432916522026062,0.0,0.010322258807718754,0.06862236559391022,0.06749842315912247,-0.053458862006664276
10,12.3125,-1.0724518299102783,-0.024928742833435536,0.30476261377334596,0.0,0.009950892948028114,0.0664568795926041,0.06410214304924011,-0.0579276978969574
20,16.5,-0.783900797367096,-0.027770261839032175,0.1548576235771179,0.0,0.014052319806069136,0.05893183685839176,0.04968895763158798,-0.053635258227586746
30,15.8125,-0.8801160752773285,-0.028499190136790274,0.05842734277248383,0.0,0.01685672402381897,0.05067807249724865,0.05036672577261925,-0.05153743177652359
40,14.5625,-1.1799021363258362,-0.02344158962368965,0.03939779400825501,0.0,0.02000480517745018,0.04548226036131382,0.040721651166677475,-0.05599365383386612
50,13.1875,-1.1819570660591125,-0.020145690999925137,0.021803732216358184,0.0,0.023895787075161934,0.04129123464226723,0.03662196174263954,-0.05654848366975784
60,11.875,-1.2801501154899597,-0.029831773601472378,0.039266735315322876,0.0,0.02628015261143446,0.03134159035980701,0.028850635513663292,-0.04956221953034401
70,14.875,-0.6969602108001709,-0.02171202190220356,0.01978927068412304,0.0,0.030502475798130035,0.025887149013578893,0.023011762648820877,-0.04916544258594513
80,14.8125,-0.9997773170471191,-0.02540403660386801,0.017737917229533197,0.0,0.03404366075992584,0.01979093411937356,0.016356468200683594,-0.0638539046049118
90,10.25,-1.3872644305229187,-0.025737966410815716,0.013148787245154381,0.0,0.03733094781637192,0.014135939255356788,0.01963474042713642,-0.05997905507683754
100,16.75,-0.8104356229305267,-0.027294886112213135,0.01091928593814373,0.0,0.041549306735396384,0.001962463045492768,-0.006224619224667549,-0.05338159576058388
110,14.25,-0.9093080759048462,-0.023149511963129043,0.012831299193203449,0.0,0.04394032955169678,-0.0013353506568819285,-0.010388321243226528,-0.05266718566417694
120,16.125,-1.103755235671997,-0.030674299225211143,0.02142643854022026,0.0,0.04747075848281383,-0.010722872987389564,-0.019084129482507706,-0.04215443134307861
130,17.6875,-0.9092263281345367,-0.024242518469691277,0.013314740359783172,0.0,0.0514546986669302,-0.017326985858380793,-0.025385163724422455,-0.033215079456567764
140,11.5625,-1.2050634026527405,-0.029124471172690392,0.0140573151409626,0.0,0.05428124442696571,-0.02285706140100956,-0.02077079564332962,-0.04877527803182602
150,14.0,-1.1202374696731567,-0.025663275457918643,0.013603608869016171,0.0,0.05739875137805939,-0.030621108412742615,-0.03743581846356392,-0.05819437652826309
160,18.125,-0.737456202507019,-0.022209000959992408,0.015752587094902994,0.0,0.06079000383615494,-0.03973180204629898,-0.051325730979442596,-0.05856712907552719
170,12.4375,-1.2053791880607605,-0.031359123066067696,0.020555903390049934,0.0,0.06414129957556725,-0.04323221631348133,-0.03739579766988754,-0.030214957892894745
180,13.5,-1.123806118965149,-0.0219027578830719,0.011784099228680133,0.0,0.06660274937748908,-0.04853438548743725,-0.05109728127717972,-0.053516849875450134
190,14.4375,-1.1281911134719849,-0.0295516649261117,0.013357581570744514,0.0,0.06908653303980827,-0.05463404692709446,-0.05964897572994232,-0.054035015404224396
200,20.75,-0.8354844748973846,-0.02202250249683857,0.01171673759818077,0.0,0.07233914285898209,-0.05839094780385494,-0.06604516506195068,-0.047531887888908386
210,13.875,-1.2183535695075989,-0.02774220108985901,0.010469292104244233,0.0,0.07453845739364624,-0.0663646101951599,-0.06416019797325134,-0.036496274173259735
220,11.75,-1.0340790152549744,-0.028327950835227968,0.006706852745264768,0.0,0.07690180987119674,-0.07028484232723713,-0.07560403645038605,-0.04702211543917656
230,17.75,-0.7433660626411438,-0.0263406939804554,0.007734367996454239,0.0,0.07842426896095275,-0.07538470923900605,-0.09153807908296585,-0.02488834224641323
240,15.0625,-1.1353050470352173,-0.024949295073747636,0.011565016955137253,0.0,0.08133503422141075,-0.07966957613825798,-0.07823947072029114,-0.05204518884420395
250,11.75,-1.0445635914802551,-0.02472291737794876,0.005509072635322809,0.0,0.08324904888868331,-0.08564771562814713,-0.0873493179678917,-0.056752994656562805
260,14.125,-1.2337837219238281,-0.021143165603280067,0.012843173928558826,0.0,0.08519512936472892,-0.09283767417073249,-0.0921303853392601,-0.04231893643736839
270,9.6875,-1.4175350666046143,-0.019342131726443768,0.02201361320912838,0.0,0.0876941666007042,-0.09396822601556779,-0.0976303219795227,-0.01077770534902811
280,14.1875,-0.8540441691875458,-0.025582847744226457,0.011061608046293258,0.0,0.09017274156212807,-0.10154142454266549,-0.0925636887550354,-0.05965140834450722
290,22.8125,-0.672271341085434,-0.021532589197158815,0.009690520912408828,0.0,0.09281119406223297,-0.10871128588914872,-0.12130894511938095,-0.05709514766931534
300,10.0,-1.342465579509735,-0.021143312379717828,0.006250765267759561,0.0,0.09503497108817101,-0.10613667666912079,-0.11145590245723724,-0.04677344113588333
310,16.9375,-0.8470826148986816,-0.022180841863155366,0.014874899946153163,0.0,0.09554974585771561,-0.11939996108412743,-0.1216311901807785,-0.01937125436961651
320,17.125,-1.1561224460601807,-0.026313048787415028,0.006431190203875304,0.0,0.09749221131205558,-0.1188860408961773,-0.12434586137533188,-0.05072376877069473
330,11.125,-1.1537483930587769,-0.024614351987838744,0.0077517607249319555,0.0,0.09923730343580246,-0.12109401524066925,-0.11923010647296906,-0.05023689195513725
340,15.625,-0.8668933510780334,-0.020933968760073186,0.007519382238388062,0.0,0.10148975998163223,-0.12728512808680534,-0.12868288159370422,-0.0529705174267292
350,14.5625,-0.7712893784046173,-0.023675958439707757,0.016625635884702207,0.0,0.10219097882509232,-0.1324675627052784,-0.13418111205101013,-0.04991385340690613
360,17.125,-0.8654405474662781,-0.0268732450902462,0.01064135879278183,0.0,0.10429561138153076,-0.13810475617647172,-0.1362830400466919,-0.04249449074268341
370,10.8125,-1.1547653079032898,-0.026692755147814752,0.006206049583852291,0.0,0.10556263476610184,-0.1389218121767044,-0.13145191967487335,-0.043713390827178955
380,10.8125,-1.0715292692184448,-0.02915828414261341,0.007749104686081409,0.0,0.10670311897993087,-0.14079891741275788,-0.14993396401405334,-0.053494103252887726
390,21.4375,-0.4932269901037216,-0.023005919065326452,0.008233980089426041,0.0,0.10795658454298973,-0.14732764959335326,-0.1657254993915558,-0.044110678136348724
400,13.9375,-0.9553103744983673,-0.018368708342313765,0.016694191470742227,0.0,0.10951091423630714,-0.15321535617113113,-0.1629873812198639,-0.0020697610452771187
410,16.3125,-1.171020746231079,-0.01959526613354683,0.01284275334328413,0.0,0.11028917953372001,-0.1589568004012108,-0.1603098213672638,-0.049613114446401596
420,20.8125,-0.6955607831478119,-0.021902637928724288,0.01067655012011528,0.0,0.11291313096880913,-0.1590256944298744,-0.17376334965229034,-0.054413944482803345
430,13.625,-1.077666163444519,-0.026768877729773523,0.006144228391349316,0.0,0.11411095708608628,-0.1603722646832466,-0.1693269908428192,-0.047689806669950485
440,14.0625,-1.0735216736793518,-0.02404461707919836,0.011149189434945583,0.0,0.11479954943060874,-0.16430900543928145,-0.1589621901512146,-0.04984651505947113
450,19.625,-1.0807306170463562,-0.02277194894850254,0.005569428298622369,0.0,0.11647143587470055,-0.16744463592767717,-0.16932909190654755,-0.054279644042253494
460,13.5,-1.2774621844291687,-0.026447825133800507,0.006586983986198902,0.0,0.11633793041110038,-0.16878480464220047,-0.17246848344802856,-0.05693409591913223
470,15.5,-1.0920062065124512,-0.02091137133538723,0.006586798280477524,0.0,0.11872264072299003,-0.17703550904989243,-0.18674498796463013,-0.059350769966840744
480,12.9375,-1.4763990640640259,-0.02752572987228632,0.006416136585175991,0.0,0.11898425742983817,-0.17739148586988449,-0.17983940243721008,-0.059174466878175735
490,12.4375,-1.271927833557129,-0.026319892331957816,0.007512381672859192,0.0,0.1197133220732212,-0.1788660928606987,-0.16943469643592834,-0.04834102466702461
500,19.25,-0.7070755660533905,-0.02844357080757618,0.009935511834919452,0.0,0.12166787832975387,-0.18615414202213287,-0.20722664892673492,-0.045642025768756866
510,14.25,-1.0859026312828064,-0.025491820089519023,0.010065537877380848,0.0,0.1219308078289032,-0.19007611721754075,-0.1795753389596939,-0.05494137108325958
520,12.125,-1.1890520453453064,-0.023842665180563927,0.012682984583079815,0.0,0.12199518829584122,-0.18985510617494583,-0.19240984320640564,-0.05604775249958038
530,13.4375,-1.0892424583435059,-0.028983280062675476,0.007939909771084785,0.0,0.12509540617465972,-0.19421517997980117,-0.1879654824733734,-0.05510948598384857
540,13.875,-1.2951323986053467,-0.024559419974684714,0.00838325098156929,0.0,0.12504927963018417,-0.19758955389261246,-0.20380660891532898,-0.06413622200489044
550,17.875,-0.709878534078598,-0.02616037763655186,0.016699073649942876,0.0,0.12754331901669502,-0.19676051735877992,-0.20951126515865326,-0.04786543548107147
560,13.4375,-1.2820160388946533,-0.023155965283513068,0.005712555162608624,0.0,0.12724249437451363,-0.19998392313718796,-0.18635255098342896,-0.053890932351350784
570,12.125,-1.2004343271255493,-0.023844990506768228,0.005906435940414667,0.0,0.12767573297023774,-0.20085364431142808,-0.21660323441028595,-0.055027250200510025
